NOME,BAIRRO,ENDERECO,CULINARIA,endereco_completo,latitude,longitude,estrelas
Casa do Saulo,Centro,Rodrigues Alves - Praça Mauá. CentroRio de Janeiro,Paraense,"Rodrigues Alves - Praça Mauá. CentroRio de Janeiro, Rio de Janeiro, Brazil",-22.8940683499999,-43.1794045300581,4
Casarão Odin,Centro,"Rua Alfredo Pachá, 320. CentroPetrópolis",Bar,"Rua Alfredo Pachá, Rio de Janeiro, Brazil",-22.5058462,-43.1840331,5
Celeste,Centro,"Rua do Lavradio, 11. CentroRio de Janeiro",Italiana,"Rua do Lavradio, Rio de Janeiro, Brazil",-22.9102461,-43.1829993,3
Cena Gastronomia,Vila Muqui,"Rua Heitor de Moura Estevão, 468. Vila MuquiTeresópolis",Contemporânea,"Rua Heitor de Moura Estevão, Rio de Janeiro, Brazil",-22.4048938,-42.9670318,3
Churrascaria Palace,Copacabana,"Rua Rodolfo Dantas, 16. CopacabanaRio de Janeiro",Churrascaria,"Rua Rodolfo Dantas, Rio de Janeiro, Brazil",-22.7795525,-43.327658,4
Coltivi,Botafogo,"Rua Conde de Irajá, 53. BotafogoRio de Janeiro",Contemporânea,"Rua Conde de Irajá, Rio de Janeiro, Brazil",-22.7120548,-43.462672,2
Conversa Fiada,Barra da Tijuca,"Av. Lúcio Costa, 1976. Barra da TijucaRio de Janeiro",Contemporânea,"Avenida Lúcio Costa, Rio de Janeiro, Brazil",-23.0131298,-43.3947761,2
Costelas na Brasa,Praça da Bandeira,"Rua Barão de Iguatemi, 408. Praça da BandeiraRio de Janeiro",Brasileira,"Rua Barão de Iguatemi, Rio de Janeiro, Brazil",-22.9122461,-43.2133084,5
Crema Pizza e Gelato,Icaraí,"Rua Mariz e Barros, 90. IcaraíNiterói",Pizzaria,"Rua Mariz e Barros, Rio de Janeiro, Brazil",-22.9989214,-44.2320185,1
Daka Pizza Artesanal,Ipanema,"Rua Gomes Carneiro, 132. IpanemaRio de Janeiro",Pizzaria,"Rua Gomes Carneiro, Rio de Janeiro, Brazil",-22.6669547,-43.255156,5
Deck Jardim,Icaraí,"Rua Dr. Leandro Mota, 138. IcaraíNiterói",Variada,"Rua Dr. Leandro Mota, Rio de Janeiro, Brazil",-22.902984,-43.101579,4
Delirium Café,Ipanema,"Rua Barão da Torre, 183. IpanemaRio de Janeiro",Variada,"Rua Barão da Torre, Rio de Janeiro, Brazil",-22.6270971,-42.0044768,4
Doceria Gabriela Neves,Centro,"Av. Felíciano Sodré, 488. CentroNiterói",Doces,"Avenida Felíciano Sodré, Rio de Janeiro, Brazil",-22.8807969,-43.1096894,4
Don Pig Hamburgueria,Centro,"Av. Felíciano Sodré, 488. CentroNiterói",Hamburgueria,"Avenida Felíciano Sodré, Rio de Janeiro, Brazil",-22.8807969,-43.1096894,4
Donna Tê Terrazzo,Várzea,"Praça Baltazar da Silveira, 65. VárzeaTeresópolis",Italiana,"Praça Baltazar da Silveira, Rio de Janeiro, Brazil",-22.4124201,-42.96577185255828,4
Du Bonfim Gourmet,Tijuca,"Rua Conde de Bonfim, 451 - 2° andar. TijucaRio de Janeiro",Brasileira,"Rua Conde de Bonfim, Rio de Janeiro, Brazil",-22.8576717,-42.2576585,3
Ella Pizzaria (Jardim Botânico),Jardim Botânico,"Rua Pacheco Leão, 102. Jardim BotânicoRio de Janeiro",Pizzaria,"Rua Pacheco Leão, Rio de Janeiro, Brazil",-22.166129,-43.5809666,2
Empório Canabrava,Centro,"Av. Felíciano Sodré, 488. CentroNiterói",Empório,"Avenida Felíciano Sodré, Rio de Janeiro, Brazil",-22.8807969,-43.1096894,4
Encanteria,Icaraí,"Rua Nóbrega, 264. IcaraíNiterói",Contemporânea,"Rua Nóbrega, Rio de Janeiro, Brazil",-22.9027647,-43.1041081,1
Escama,Jardim Botânico,"Rua Visc. de Carandaí, 5. Jardim BotânicoRio de Janeiro",Frutos do Mar,"Rua Visc. de Carandaí, Rio de Janeiro, Brazil",-22.9659949,-43.2206132,1
Flora,Copacabana,"Rua Alm. Gonçalves, 5. CopacabanaRio de Janeiro",Contemporânea,"Rua Alm. Gonçalves, Rio de Janeiro, Brazil",-22.9799504,-43.1901602,1
